Cutthroat1	hachazo de Bartuc
D2bnethelp13d	Te permite responder a un murmullo (whisper) sin teclear el nombre de la cuenta
D2bnetHelp52	/whisper, /msg, /reply
D2bnetHelp10a	ÿc9  Amarillo Textÿc4 representa los mensajes especiales enviados directamente desde battle.net
BnetnewGameTime	Tiempo jugado:
D2bnetHelp12c	Cuando uses comandos avanzados, también puedes utilizar los nombres de los personajes para miembros del mismo Reino y los nombres de los personajes @Reino para los miembros de otro Reino.
D2bnetHelp12d	Debes usar los *nombres de las cuentas para todo aquel que esté en battle.net, incluyendo a aquellos que participen en otros juegos, como Starcraft.
D2bnetHelp12b	Cuando una de las órdenes siguientes requiera que se utilice un <accountname> (<nombredecuenta>), utiliza un <charactername> (<nombredepersonaje>), un <charactername@Realm> (<nombredepersonaje@Reino>) o bien un <*accountname> (<*nombredecuenta>).
x	PORTAL: %s
x	CAMBIAR CONTRASEÑA
x	Cambiar contraseña
x	Contraseña actual
x	Nueva contraseña
x	Comprobar nueva contraseña
x	SELECCIONAR PORTAL
x	Si el portal actual no es el más adecuado para el lugar desde el que te conectas, selecciona otro portal de Battle.net.
x	CAMBIAR REINO
x	Reino actual
x	En este Reino ya existe un personaje llamado '%s'.
D2bnetHelp6a	ÿc5Gray Textÿc4 también representa acciones realizadas por usuarios del canal de chat.
D2bnetHelp10aPatch	ÿc3Blue Textÿc4 representa los mensajes especiales enviados directamente desde battle.net o los de algún representante de Blizzard.
x	ENVIAR
x	ADVERTENCIA DE CONTRASEÑA
x	No puedes enviar tu contraseña a otro jugador de Battle.net. En ningún caso Blizzard preguntará por tu contraseña.
x	CONECTANDO...
x	Diablo II no ha podido conectar con el servidor del reino. Puede que el reino seleccionado no esté disponible, o que tengas problemas de conexión. Asegúrate de que tu conexión a Internet funciona correctamente y de que tu cortafuegos tiene abierto el puerto 6112.
x	MÁS
x	En este reino de Diablo II tienes más de ocho personajes disponibles. Sólo se pueden mostrar ocho personajes al mismo tiempo.
x	Si quieres ver otros personajes, tendrás que borrar uno de los existentes. El personaje se borrará de forma permanente, por lo que no podrás recuperarlo. Visita la siguiente página para obtener más información: www.blizzard.com/support/diablo2.
X	CONDICIONES DEL SERVICIO
X	Al conectarse a Battle.net, usted certifica que ha leído las actuales Condiciones del servicio y que está de acuerdo con las mismas.
x	a0n1:%1 %0
GemXp1	Guantes, Cinturones, Botas:
GemXp2	Escudos:
GemXp3	Armas:
GemXp4	Armadura:
strCharSelectHardcoreCharacter	Hardcore Character
x	Cadena faltante
EskillLowersResistX	Reduce la resistencia
ExInsertSocketsX	Puede insertarse en los objetos con huecos
EskillToMeleeX	a las refriegas
eskillincasemasteryX	%d Probabilidad de azote crítico
CfgSay7X	Decir: ¡Retirada!
champghostlyX	Fantasmal
champfanaticX	Fanático
champpossessedX	Poseso
champberserkX	Frenético
PalMercExST1X	Shapeshifter
PalMercEXST3X	Fighter Mage
PalMercEXST4X	Exemplar
increaseswithplaylevelX	(Basado en el Nivel de Personaje)
RankX	Rango
x	Introduce una dirección de email válida.
x	Si introduces tu dirección de correo electrónico activarás más opciones como la posibilidad de recuperar tu cuenta si olvidases tu contraseña. Visita ww.battle.net/email-address para obtener más información.
x	Dirección de email:
x	Verificar dirección de email:
x	REGISTRO
x	NO REGISTRARSE
x	Asegúrate de que las dos direcciones de email coinciden.
x	Dirección de email no válida
x	La dirección de email introducida no es válida. Introduce una dirección de email válida.
x	Si no introduces tu dirección de correo electrónico no podrás recuperar tu cuenta en el caso de que olvides tu contraseña. No podrás registrar una dirección de correo electrónico en esta cuenta más adelante.
x	Si has olvidado tu contraseña y has registrado tu dirección de email con nosotros para esta cuenta, puedes solicitar una nueva contraseña haciendo clic en Enviar.
x	Tu solicitud de contraseña ha sido recibida. Si has registrado una dirección de email para esta cuenta, recibirás un email con instrucciones sobre cómo realizar el cambio de contraseña.
x	CONTINUAR
x	¿Has olvidado la contraseña? Haz clic en Configuración de cuenta.
x	La contraseña que has introducido no es correcta. Puedes conseguir una nueva contraseña haciendo clic en Configuración de cuenta.
x	CONFIGURACIÓN DE CUENTA
x	Configuración de cuenta
x	Si sabes tu contraseña y quieres cambiarla, haz clic aquí.
x	Si has olvidado tu contraseña o tienes problemas con ella, haz clic aquí.
DAntlers (Grade 6)	Si necesitas cambiar la dirección de email que has registrado, haz clic aquí.
DAntlers (Sacred)	NUEVA CONTRASEÑA
DAspis (Grade 1)	Nueva contraseña
DAspis (Grade 2)	CAMBIAR EMAIL
DAspis (Grade 3)	Cambiar email
DAspis (Grade 4)	Antigua dirección de email:
DAspis (Grade 5)	Nueva dirección de email:
DAspis (Grade 6)	Comprobar nueva dirección de email:
DAspis (Sacred)	Si has registrado una dirección de email para esta cuenta, puedes cambiarla aquí. Ten en cuenta que las dos direcciones de email tienen que estar activadas para poder hacer este cambio.
DAssault Helmet (Grade 1)	La antigua dirección de email y la nueva son iguales. Introduce una dirección de email diferente.
DAssault Helmet (Grade 2)	Asegúrate de que las dos nuevas direcciones de email coinciden.
DAssault Helmet (Grade 3)	Actualización de noticias en Battle.net
DAssault Helmet (Grade 4)	Última Dificultad Completada:
DAssault Helmet (Grade 5)	Ninguna
DAssault Helmet (Grade 6)	ENTRAR EN CHAT
DAssault Helmet (Sacred)	\nwww.median-xl.com\n
DAthulua's Hand (Grade 1)	Contraseña no segura
DAthulua's Hand (Grade 2)	La contraseña que has elegido no es segura. Elige una nueva.
DAthulua's Hand (Grade 3)	ADVERTENCIA DE CLAVE DEL CD
DAthulua's Hand (Grade 4)	No puedes enviar tu clave del CD a otro jugador de Battle.net. En ningún caso Blizzard preguntará por tu clave del CD.
DAthulua's Hand (Grade 5)	Caduca hoy
DAthulua's Hand (Grade 6)	Caduca en %d días
DAthulua's Hand (Sacred)	DEP (Personaje caducado)
DAvenger Guard (Grade 1)	
DAvenger Guard (Grade 2)	
DAvenger Guard (Grade 3)	
DAvenger Guard (Grade 4)	
DAvenger Guard (Grade 5)	
DAvenger Guard (Grade 6)	
DAvenger Guard (Sacred)	
DBanded Plate (Grade 1)	
DBanded Plate (Grade 2)	Un personaje de Diablo II debe entrar en una partida de vez en cuando porque caduca tras seis meses de inactividad.
DBanded Plate (Grade 3)	Un personaje caducado es eliminado del reino.
DBanded Plate (Grade 4)	No has usado al personaje %s lo suficiente y ha caducado.
DBanded Plate (Grade 5)	ÿc1Devouring Banded Plate
DBanded Plate (Grade 6)	ÿc1Devouring Banded Plate
DBanded Plate (Sacred)	ÿc1Devouring Banded Plate
DBelt (Grade 1)	ÿc1Devouring Belt
DBelt (Grade 2)	ÿc1Devouring Belt
DBelt (Grade 3)	ÿc1Devouring Belt
DBelt (Grade 4)	ÿc1Devouring Belt
DBelt (Grade 5)	ÿc1Devouring Belt
DBelt (Grade 6)	ÿc1Devouring Belt
DBelt (Sacred)	ÿc1Devouring Belt
DBlackguard Helm (Grade 1)	ÿc1Devouring Blackguard Helm
DBlackguard Helm (Grade 2)	ÿc1Devouring Blackguard Helm
DBlackguard Helm (Grade 3)	a las Habilidades de la Asesina
DBlackguard Helm (Grade 4)	ÿc1Devouring Blackguard Helm
DBlackguard Helm (Grade 5)	ÿc1Devouring Blackguard Helm
DBlackguard Helm (Grade 6)	La CD-Key que estás usando está deshabilitada para jugar en reinos.\nDeberás continuar jugando en Un Jugador y Battle.net abierto.
DBlackguard Helm (Sacred)	Tu conexión ha sido restringida temporalmene de este reino. Prueba a iniciar sesión en otro momento.
toa	ÿc8Belladonna Extract
DBladed Shield (Grade 2)	Twisted Essence of Suffering
DBladed Shield (Grade 3)	Charged Essence of Hatred
DBladed Shield (Grade 4)	Burning Essence of Terror
DBladed Shield (Grade 5)	Nivel de Objeto
DBladed Shield (Grade 6)	Reiniciar Stat/Punto de Habilidad
DBladed Shield (Sacred)	ÿc1Devouring Bladed Shield
x	-- BEGIN SIGMA CORE --
x	Las siguientes líneas están codificadas -- Marco
x	Preferencias
x	Guardar y Salir
x	Reanudar juego
x	
x	
x	
x	
x	
x	
x	
x	
x	
x	
x	
x	-- END 1.1 --
x	%ls para bloquear el nivel\nUna nueva búsqueda ha comenzado
Rusted	oxidado
x	(Nivel requerido: %d)
Used	Utilizado
x	Cerrando en: %s
x	Únete a otro juego para volver a entrar\nEsta área está bloqueada
x	UNA VEZ QUE SALGAS NO PUEDES VOLVER
LegionX	Legión
EternalVigil	Vigilia eterna
TerrQ	Terror
Leviath	Leviatán
Peace	Paz
Mana	maná
ZakQ	Zakarum
DrQ	Continuar
boxX	Caja
barrelX	Barril
spines	espinas dorsales
slammer	Prisión
prophetX	Profeta
charmX	Encanto
strBodyLocItemHead	Casco
strBodyLocItemNeck	Collar
strBodyLocItemTorso	Armadura
strBodyLocItemRArm	Objeto de mano derecha
strBodyLocItemLArm	Objeto de la mano izquierda
strBodyLocItemRRin	Anillo de mano derecha
strBodyLocItemLRin	Anillo de mano izquierda
strBodyLocItemBelt	Cinturón
strBodyLocItemBoots	Botas
strBodyLocItemGloves	Guantes
strBodyLocItemRArmSwitch	Objeto secundario de la mano derecha
strBodylocItemLArmSwitch	Objeto secundario de la mano izquierda
strDurabilityWarningDamaged	están dañados\ntus artículos equipados\nuno o más de
strDurabilityWarningCritical	están muy dañados\ntus artículos equipados\nuno o más de
strDurabilityWarningBroken	estan rotos\ntus artículos equipados\nuno o más de
strRaidNotif	esta búsqueda\nllamado ÿc8%Sÿc4 para unirse\nactivado, únete al juego\nUna nueva misión de incursión ha sido
strRaidNotifOwnGame	activado en este juego.\nUna nueva misión de incursión ha sido
StrAmmoWarningLow	tener municiones bajas\ntus artículos equipados\nuno o más de
StrAmmoWarningCritical	tener municiones muy bajas\ntus artículos equipados\nuno o más de
StrAmmoWarningEmpty	se quedaron sin municiones\ntus artículos equipados\nuno o más de
StrLevelUpNotif	Elevar a mismo nivel
StrStatPointsNotif	Nuevos puntos de estadísticas
StrSkillPointsNotif	Nuevos puntos de habilidad
StrQuestUpdateNotif	Has hecho nuevos progresos en una misión.
StrCfgTabHotkey	Ajustes\ntecla de acceso rápido
StrCfgTitleHud	Interface and display settings
StrCfgTabDisplay	Ajustes\nInterfaz
StrCfgTitleNotifications	Notifications
StrDisplayAlvl	Nivel de área:
x	Warp Blade
CfgNoPickup	Alternar recogida de artículos
CfpMapReveal	Revelar mapa
StrCfgSmallAutomap	Small automap
StrCfgTitleAutomap	Automap settings
StrCfgTheme	Interface Theme
CfgNotifGold	Ganancias y pérdidas de oro
CfgNotifLevelUp	Has subido de nivel
CfgNotifNewStats	Nuevos puntos de estadísticas
CfgNotifNewSkills	Nuevos puntos de habilidad
CfgNotifActiveBuffs	Buffs y Debuffs Activos
CfgNotifRealmWhispers	Susurros de la actividad de tus amigos
CfgDisplayHp	Siempre mostrar puntos de vida
CfgDisplayMp	Siempre mostrar puntos de maná
CfgDisplayGameTime	Tiempo transcurrido en el juego mientras usas automap
CfgDisplayIlvl	Mostrar el nivel de los objetos
CfgDisplayGameName	El nombre de la partida usando automap
CfgDisplayGamePwd	La contraseña de la partida usando automap
CfgDisplayAlvl	El nivel de cada área usando automap
CfgVolume	Volumen del Juego
CfgMusicVolume	Volumen de la Música
CfgContrast	Contraste
CfgGamma	Gama
x	Escudo de maná: +20% de reducción de daños
x	Daño de autoinmolación por lanzamiento sin cambios\n+3 segundos a la duración de la mejora de Balefire
x	Los ritos paganos también restauran maná
1263	Superbeast agrega Deadly Strike en lugar de Spell Damage al 50% de eficiencia
x	+30% de probabilidad de perforar a Mind Flay
x	+8 proyectiles de Storm Crows después de ser golpeado
x	+60 índice de ataque por nivel de personaje por encima de 105\nLa postura del león no reduce tu resistencia física
x	+40% de probabilidad de perforación para el tótem Stormeye
x	+200% de daño de fuego en el Coliseo
x	Cementerio: +2 Proyectiles Adicionales
x	Ragh nar Rook
x	La bonificación del atributo Dragon's Blessing se reduce a la mitad
x	Escudo de maná: 33% menos de maná drenado al ser golpeado
x	Escudo de maná: 95% menos de maná drenado al ser golpeado
x	Rayo de luna: duración de mejora duplicada
x	50% del daño de hechizos de fuego y veneno agregado como bonificación de defensa
11276	Hunting Banshee: +2 Projectiles
StrCfgAssignHotkey	O presione cualquier tecla para asignar\nPresione DEL para cancelar la asignación de la tecla\nPresione ESC para cancelar
x	No puedes infligir daño de fuego, rayos o veneno\n80% de vitalidad agregada como daño por frío al arma
x	Invierno sin remordimientos
x	Derriba a los enemigos si tienes al menos 1000 de fuerza
x	''El conocimiento es poder''
x	+3% de daño con hechizos por cada 1% de experiencia adicional ganada
11283	ÿc5Shower of Rocks: cooldown reduced by 1 second\nThunder Slam: cooldown reduced by 4 seconds\nÿc8If You Have no Points in combat stances:
x	ÿc1Morph del Señor de la Muerte\nÿc8Parásito: +6 Objetivos
x	Frente de llamas: +5 Proyectiles máximos
x	+1% Golpe letal por nivel base de Firedance
x	Ídolo de Scosglen no tiene tiempo de reutilización
11288	Espíritu de ascuas: +15% de daño total
11289	Espíritu de ascuas: +10% de daño total
x	Barrido de maná: +15% de daño total, sanguijuelas sin maná
x	Fortaleza: +40% de probabilidad de perforación
x	+60% de probabilidad de atravesar la fortaleza
x	Celeri Caelesti Iustitia
11294	20% de la resistencia a los rayos añadida como daño de hechizos de rayos
x	+15% de resistencia física después del nivel 120\n+25% a la experiencia ganada hasta el nivel 120
x	Metamorfosis del guardián del árbol
x	Thundercrack: +100% de daño de rayo adicional
11298	ÿc5+8% al daño de hechizos físicos/mágicos\n+25% Defensa total del personaje\n+10 de vida después de cada muerte\n+1 a todas las habilidades\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
11299	+180% de daño al Zakarum
x	ÿc5+20% a las resistencias elementales\n+0.75% de probabilidad de bloqueo base\n+1 a todas las habilidades\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
x	¡Adora a los monos crack!
x	No se puede desconectar
x	Drena 2% de vida por segundo
x	+1 Banshee Cazador/Proyectil Ember Spirit\nDrena 2% de vida por segundo
x	+1 Banshee Cazador/Proyectil Ember Spirit
x	+2 Proyectiles Caza Banshee\nÿc8Ember Spirit anulado
x	+3 Proyectiles Ember Spirit\nÿc8Hunting Banshee anulado
x	Bonificación de resistencia elemental aleatoria
x	Bonificación de velocidad de movimiento aleatorio
x	Tempestad: +3 Proyectiles
x	+150% de daño familiar total
x	+20 al nivel máximo de habilidad familiar
11313	Aura de espíritu nephalem de nivel 10
x	Danza en espiral: +300% de daño mágico adicional
x	+1% de resistencia física por cada 18% de regeneración de maná
x	+1% de daño de hechizos físicos/mágicos por cada 20 de vitalidad
11317	Haz clic derecho para Abrir Grieta Temporal\n
x	-5% Golpe letal por cada 1% de Velocidad de ataque\n+400% Golpe letal
x	Doncella escudera: +15% de daño de arma mejorado por nivel de personaje superior a 120
11320	No se puede actualizar
11321	+50% de probabilidad de perforar a Mind Flay
11322	Maelstrom MkI: +25% de daño mágico adicional
11323	-1% Daño de Hechizos de Frío por 1 Radio de Luz\n+3% de daño de hechizos de fuego por 1 radio de luz\n+2 enfoque de hechizo por 1 radio de luz
11324	Postura de águila de nivel 20\nMind Flay: +2 Proyectiles
11325	Postura de lobo de nivel 10
11326	Agrega 120% de tu daño de hechizos físicos/mágicos como daño físico de arma adicional\nAgrega 120% del daño de tu hechizo de fuego como daño físico de arma adicional
11327	-1% a la resistencia al veneno del enemigo por cada 25 de fuerza
11328	ÿc5Agrega 75-150 Daño de Fuego\n+30% de velocidad de ataque\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
11329	Pulso de maná: +50% de duración
11330	Agrega 200% de Golpe aplastante como daño de hechizos de fuego y frío
11331	+100% de daño mágico adicional a Danza en espiral
11332	Escudo de relámpagos: +(18 a 30) Daño de relámpagos al arma por nivel de habilidad\nThundergod Nova inflige 5000 daños por rayos\nStormblast: +1 Proyectil
11333	Vasija del juicio: +3 objetivos
11334	+1% Golpe letal por cada 6% de daño de hechizos de fuego\nDefensa total reducida en un 25%
11335	Fragmentos de muerte: +50% de sanguijuela de vida
11336	+3 Proyectiles Misiles Mágicos
11337	Aura de sangre de demonio de nivel 1
11338	Las habilidades cuestan vida en lugar de maná
11339	ÿc5-10% a la resistencia al veneno enemigo\n+30 de vida después de cada muerte\n+2.5% de resistencia física\n+1 a todas las habilidades\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
11340	Recipiente de retribución: 0.7% de daño absorbido como vida
11341	Queen of Blades: +2500 daño de rayos a los proyectiles principales
11342	-6% de daño de arma mejorado por cada 1% de golpe aplastante
11343	Postura Kraken: +3% Daño por Nivel Base en el Árbol Templario\nPostura de Kraken de nivel 30
11344	No infligir daño elemental o mágico
11345	No temas ningún mal
11346	50% de la bonificación total de defensa de tu personaje agregada como vitalidad
11347	ÿc5+600 enfoque de hechizo\n+25% de resistencia física\n+33% Golpe letal\n+100% hallazgo mágico\n+50% de velocidad de lanzamiento\nÿc8Asterismo, Bacanales y Dragonlore:\nSi no tienes puntos en Lioness, Shieldmaiden,
11348	Stormcall no inflige daños por rayos\nStormcall inflige el doble de daño
11349	Crucificar: +14% de daño mágico por nivel base
11350	Refugio de las Sombras: -1% a la resistencia al fuego y a los rayos del enemigo por nivel base
11351	+100% de duración de la llamarada solar
11352	El tiempo de reutilización de Stampede no se puede reducir por debajo de 0.8 segundos
11353	Solo puedes usar habilidades cuerpo a cuerpo, de invocación y de apoyo.
11354	Fire Pierce reduce la perforación en frío\nEl daño de hechizos de fuego reduce el daño de hechizos de frío\nNova glacial: +150% de daño total
11355	ÿc5 Reutilización de 20 segundos para todos los hechizos de Lightning Tree\nÿc8Si tienes algún punto en Vengeful Power, Living Flame o Snow Queen
11356	60% del daño de armas agregado al campo magnético como daño físico adicional\nBonificación de daño por rayo de campo magnético convertido a físico
11357	+20% Golpe mortal si lo maneja un jugador\n+100% de hallazgo mágico si lo maneja un mercenario
11358	Invoca un esbirro nigromante adicional con cada lanzamiento
11359	De lo contrario, -10% de daño total de Mind Flay\nSi no te han golpeado recientemente, +30% de daño total de Mind Flay
11360	-3% de resistencia al veneno enemigo por nivel base de actitud de serpiente
11361	ÿc5-1% a la resistencia al fuego y a los rayos enemigos por cada 60 atributos\n+200% al daño de hechizos de fuego y relámpagos\nAgrega 3 - 5 Daño de Rayo por 20 Atributos\nAgrega 3 - 5 Daño de Fuego por 20 Atributos\nÿc8Mientras usa Windform:
11362	El daño de los súbditos también aumenta el daño de tus hechizos con un 50% de eficiencia\n-1 al máximo de tótems
11363	+1% de velocidad de ataque por cada 20 de fuerza
11364	ÿc5+0.5% a las resistencias elementales máximas\n+250 a la Vida\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
11365	No infligir daño de rayo
x	
x	
11368	¡Felicidades!
11369	Cube después de matar a Dark Star Dragon en menos de 1 minuto y 30 segundos
11370	+8 al máximo de proyectiles de rayos bifurcados
11371	No repartir golpes aplastantes\nTus ataques ignoran la resistencia física de los no muertos\n40% de los aumentos de vida de los súbditos agregados como defensa total del personaje\n12% de los aumentos de daño de los súbditos agregados como Golpe letal
11372	(Máx.: 1 minuto de diferencia)\nCubo después de matar a Imperius y Maltael
11373	Cubo con esencia/piedra rúnica para rodar estadística
11374	Se puede actualizar con Ghost Trance
11375	La probabilidad de evitar daño se convierte en 0%
11376	Los elementales de fuego obtienen el 100% de su daño físico como fuego
11377	Agrega 1 - 3 daños de fuego, frío y rayos al arma por 1 enfoque de hechizo
11378	+120% de daño físico con armas si empuñas un cetro
11379	ÿc5+1 proyectil a Iceburst\nÿc8Mientras empuñe esta arma a dos manos:
11380	ÿc5 +100% Proyectiles Noctules\nÿc8Mientras empuñe esta arma a dos manos:
11381	No puedes invocar elementales de hielo directamente
11382	No puedes invocar a Blade Spirits directamente
11383	No puedes invocar genios directamente
11384	Onda de muerte: +1 Proyectil\nPerdición: +100% de duración
11385	+33% de velocidad de salto aumentada
11386	Enjambre de flechas: 50% más de proyectiles
11387	Sanguine Covenant regenera un 3.5% de la vida máxima por segundo
11388	El frenesí extático no reduce tu defensa
11389	Hoja de escorpión: +2 proyectiles
11390	Los espíritus guardianes heredan el 100% de tu golpe mortal
11391	Rey Velo: +100% Vida y Daño
11392	Deathlord te hace significativamente más vulnerable a todos los daños
11393	ÿc5+3% de daño de arma mejorado por nivel de habilidad de Berrinche\n+0.5% Golpe aplastante por nivel de habilidad de Berrinche\n+0.5% Golpe letal por nivel de habilidad de Berrinche\nÿc8Mientras Tantrum está activo:
11394	Cementerio: +40% Daño Total y +2 Proyectiles\nNo infligir daño de fuego, relámpagos o frío
11395	+1.5% de daño por hechizo frío por cada nivel de habilidad de tus modos pasivos\nLáser de lapa: +1 proyectil
11396	Este daño de fuego aumenta en un 10% por cada nivel base en el árbol de ballesta\nDisparo de cola de llama: +500 daño de fuego
11397	Sun Strike: +18% de daño de fuego adicional por nivel base en el árbol del arco\nSun Strike dispara 1 proyectil
11398	Parásito: +200% de daño mágico adicional
11399	-2% a las resistencias elementales enemigas por nivel base de carnicería
11400	Este daño de fuego aumenta en un 15% por nivel base de incendios forestales\nAgrega 750 de daño de fuego al ídolo de Scosglen
11401	Fantasma que ríe: +8% de daño mágico adicional por nivel base de habilidad de invocación
11402	ÿc5Agrega 100 - 200 de daño por frío\n-10% a la resistencia al frío del enemigo\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
11403	Agrega (40 a 60)% de destreza como daño mágico al arma
11404	Tres es una empresa''\n''Cruzaré los mares anchos y sombríos, navegaré
11405	""Cruzaré los anchos y sombríos mares que navegaré""
11406	ÿc5+25% Defensa total del personaje\n-5% de resistencias elementales\n+5% de resistencia física\nÿc0(Bonificación por runas elementales/grandes engarzadas)\nÿc8Gematría
11407	Banshee de caza: +1 Proyectil
11408	Cazando Banshee: +2 Proyectiles
11409	-2% a las resistencias elementales enemigas por nivel base de espíritu nephalem
11410	Duración de la descarga aumentada en 3 segundos
11411	Exorcismo: +50% Daño Total
11412	El baño de sangre está activo
11413	(Máx.: 1 minuto de diferencia)\nCubo después de matar a Rathma y Mendeln
StrCfgAutomapMode	Automapa pequeño
StrCfgTextOnlyNotif	Notificaciones de solo texto
StrCfgDebugUi	Habilitar interfaz de depuración
StrCfgColorblind	Habilitar adaptaciones para daltónicos
StrMinute	minuto
StrMinutes	minutos
11420	+500% de daño con armas mejoradas
11421	-70% a las resistencias elementales enemigas
11422	Aura de campo warp de nivel 20
11423	Anula la provisión alquímica
StrCfgShowAutomapParty	Mostrar convocatorias y mercenarios en el mapa
11425	+1 Rey Velo Extra
11426	Halcones Nocturnos: +10% Daño Total y +2 Halcones Extra\nRey del velo: +25% de daño total
11427	+1 tótem corazón de fuego adicional
11428	Visión sombría: nivel de aura aumentado en 5
11429	ÿc5+160% al daño del Golem de Hierro\n+20% Golpe aplastante\n+20% Golpe letal\nÿc8Cuando Iron Golem consume este artículo:
11430	+1 tótems adicionales
11431	
11432	Los monstruos asesinados descansen en paz
11433	ÿc5Transmuta tu vial mejorado antes de que sea demasiado tarde\nMátalo en la media hora entre las once y las doce\nCubo horádrico para ser corrompido por la Nada\nSobrevive a los ataques del Heraldo el tiempo suficiente para que el\nÿc3Para los verdaderamente valientes o locos:\n\n
11434	ÿc5+50 a la Vida\n+25 de maná\n+5% hallazgo mágico\n+1% de resistencia física\n+10 de vida después de cada muerte\nÿc0(Basado en trofeos)\nÿc8Medallas de Honor
11435	ÿc4Invocar dos esbirros de Edyrem por lanzamiento\nPuede invocar a Edyrems en cualquier lugar\nÿc5+50% de probabilidad de golpe aplastante\n+20% de Vida Agregada como Daño\n20% Reanimar como: ÿc9Edyremÿc5\nÿc8Invocar a Edyrem:
11436	Invocar Edyrem: +5000 Defensa
11437	ÿc5+10 Energía\n+10 Destreza\nÿc8 Cubo con un Trofeo para Agregar Bonificación:
11438	ÿc5+10 Vitalidad\n+10 Fuerza\nÿc8 Cubo con un Trofeo para Agregar Bonus:
11439	Moon Queen: +1% de probabilidad de perforación a Furia relámpago por nivel base
11440	ATMG Sentry: +20 daño mágico por nivel
11441	+250% a la vida y el daño del Rey del Velo
11442	Para desbloquear su verdadero poder\n\nÿc5Runa Yham\nRuna Iah\ntres grandes sellos de aprendizaje\nÿc3Transmutar este objeto con:
11443	Para desbloquear su verdadero poder\n\nÿc5Runa Qor\nRuna Ghal\ntres grandes sellos de aprendizaje\nÿc3Transmutar este objeto con:
11444	Rabieta: 20% de vitalidad agregado como daño por frío
11445	Campo gamma: aumento del daño y reducción de la duración
11446	Soulshatter: +200 daño de fuego por nivel
11447	ÿc8Ignis Fatuus: bonificaciones aumentadas en un 50%
11448	ÿc5+3% de recuperación de golpes (por nivel base)\n+3% al daño de hechizos de frío (por nivel base)\nÿc8Después de usar Barrido de maná:
11449	ÿc4Reutilización de Wyrd aumentada en 0.3 segundos\nÿc8Wyrd: Aturde al objetivo durante 0.2 segundos
11450	¡Felicidades!
11451	Añade 2500 - 2500 de Daño Mágico
11452	Los enemigos cercanos pierden un 10% de resistencia mágica y elemental.
11453	ÿc5- Falsificación Demoníaca -
11454	ÿc5- Maldición del Señor de la Guerra -
11455	ÿc5- Mandato Divino -
11456	ÿc5- Guía Arcana -
11457	ÿc5- Reino Eterno -
11458	ÿc5- Resplandor Infernal -
11459	ÿc5- Delirio Demoníaco -
11460	ÿc5- Gracia arruinada -
11461	ÿc5- Askari Valor-
11462	ÿc5- Virtuosismo de los Elementos -
11463	ÿc5- Red de Engaño -
11464	ÿc5- Disolución vil -
11465	ÿc5- Síntesis de energía -
11466	ÿc5- Resplandor de Génesis -
11467	ÿc5- Revelaciones del Culto -
11468	ÿc5- Legado de los Antiguos -
11469	ÿc5- Abrazo de la Sombra -
11470	ÿc5- Resplandor de la Estrella Oscura -
11471	ÿc5- Axiomas de Equilibrio -
11472	ÿc5- Estigma de Excidio -
11473	(La Armadura será Desencantada por la Receta)\nCuando Cubicado con El Sueño, Permite un Despertar Adicional
11474	ÿc5- Determinación de Athulua -
11475	ÿc5restos de una poderosa armadura...
11476	Dificultad: 60%\n¡Felicidades!
11477	Dificultad: 65%\n¡Felicidades!
11478	Dificultad: 70%\n¡Felicidades!
11479	Dificultad: 75%\n¡Felicidades!
11480	Dificultad: 80%\n¡Felicidades!
11481	Dificultad: 90%\n¡Felicidades!
11482	Dificultad: 100%\n¡Felicidades!
11483	ÿc3Cubo con Fragmento de Trofeo: Restaurar +20%\nÿc5Resistencia elemental máxima +3%\nDefensa total del personaje +50%\n+2 a todas las habilidades\nÿc0(Basado en el porcentaje de restauración)\nÿc8Restitución
11484	ÿc3Cubo con Fragmento de Trofeo: Restaurar +4%\nÿc5Vida Máxima +7%\nResistencia Física +15%\n+50% de velocidad de combate\nÿc0(Basado en el porcentaje de restauración)\nÿc8Restitución
11485	ÿc3Cubo con Fragmento de Trofeo: Restaurar +5%\nÿc5+50% hallazgo mágico\n+10 a todas las habilidades\n+150 Vida después de cada Muerte\n-50% a la resistencia al frío del enemigo\nEstá disponible para todas las clases\nÿc0(Basado en el porcentaje de restauración)\nÿc8Restitución
11486	ÿc5Resistencia elemental máxima +3%\nDefensa total del personaje +50%\n+2 a todas las habilidades\nÿc8Bendición de trofeos
11487	ÿc5Vida Máxima +7%\nResistencia Física +15%\n+50% de velocidad de combate\nÿc8Bendición de trofeos
11488	ÿc5+50% hallazgo mágico\n+10 a todas las habilidades\n+150 Vida después de cada Muerte\n-50% a la resistencia al frío del enemigo\nÿc8Bendición de trofeos
11489	50% de la fuerza agregada como daño de fuego al arma
11490	33% de Destreza Añadida como Daño de Hielo al Arma
11491	36% de Destreza Agregada como Daño de Rayo al Arma
11492	37% de Destreza Añadida como Daño Tri-Elemental al Arma
